Customer_ID,Country,Purchase_Frequency,Average_Order_Value,Last_Purchase_Days_Ago,Membership_Level,Total_Spend
100090,UK,8,1076.11,81,Bronze,8608.88
100091,Japan,85,1514.73,135,Silver,128752.05
100092,UK,68,1551.12,123,Silver,105476.16
100093,USA,60,43.73,149,Platinum,2623.8
100094,India,4,174.6,172,Bronze,698.4
100095,India,8,26.79,22,Gold,214.32
100096,India,90,50.97,205,Silver,4587.3
100097,Japan,93,1682.48,108,Gold,156470.64
100098,USA,16,185.43,79,Bronze,2966.88
100099,Japan,19,1427.79,341,Silver,27128.01
100100,Japan,1,1960.46,32,Bronze,1960.46
100101,USA,34,1645.4,272,Bronze,55943.6
100102,USA,93,151.46,191,Bronze,14085.78
100103,USA,91,1789.88,14,Bronze,162879.08
100104,USA,45,1917.17,235,Silver,86272.65
100105,India,63,1418.62,354,Silver,89373.06
100106,Germany,94,1240.3,314,Bronze,116588.2
100107,Germany,6,1211.56,240,Gold,7269.36
100108,USA,36,1644.1,28,Platinum,59187.6
100109,Germany,66,1115.83,89,Bronze,73644.78
100110,Germany,78,680.88,22,Platinum,53108.64
100111,USA,8,1941.46,309,Bronze,15531.68
100112,Germany,67,115.95,95,Bronze,7768.65
100113,Japan,99,1337.39,109,Bronze,132401.61
100114,UK,27,1179.54,106,Silver,31847.58
100115,UK,34,1285.52,184,Silver,43707.68
100116,USA,28,1291.57,132,Silver,36163.96
100117,India,31,264.59,50,Gold,8202.29
100118,USA,17,284.35,242,Silver,4833.95
100119,India,83,153.4,207,Silver,12732.2
100120,UK,55,1878.0,323,Silver,103290.0
100121,USA,75,1227.61,164,Bronze,92070.75
100122,UAE,9,172.68,307,Bronze,1554.12
100123,Japan,94,878.64,141,Platinum,82592.16
100124,Germany,57,731.46,327,Bronze,41693.22
100125,India,45,313.44,195,Bronze,14104.8
100126,UAE,6,1647.6,48,Gold,9885.6
100127,Germany,14,1555.7,124,Gold,21779.8
100128,Germany,31,938.87,39,Bronze,29104.97
100129,USA,54,1054.49,263,Platinum,56942.46
100130,Germany,11,50000.0,76,Bronze,9725.43
100131,Japan,69,1111.02,43,Bronze,76660.38
100132,UAE,95,1470.48,343,Bronze,139695.6
100133,Germany,2,1754.42,99,Bronze,3508.84
100134,USA,17,1192.79,146,Platinum,20277.43
100135,Japan,36,269.08,102,Bronze,9686.88
100136,UK,3,1548.67,145,Bronze,4646.01
100137,UAE,63,757.11,303,Platinum,47697.93
100138,Germany,43,1267.16,17,Bronze,54487.88
100139,USA,93,413.21,152,Silver,38428.53
100140,UK,33,343.55,88,Silver,11337.15
100141,UK,78,124.29,26,Gold,9694.62
100142,India,29,642.62,197,Bronze,18635.98
100143,Japan,23,1202.34,340,Silver,27653.82
100144,Germany,59,651.18,45,Bronze,38419.62
100145,USA,81,496.94,112,Silver,40252.14
100146,India,49,1989.83,159,Silver,97501.67
100147,Japan,55,1997.71,157,Gold,109874.05
100148,India,75,1217.8,211,Bronze,91335.0
100149,UAE,28,660.71,52,Bronze,18499.88
100150,Japan,71,1726.03,297,Bronze,122548.13
100151,Japan,72,1478.84,126,Gold,106476.48
100152,Germany,93,1239.56,66,Silver,115279.08
100153,Japan,25,1818.34,287,Gold,45458.5
100154,India,7,901.72,14,Silver,6312.04
100155,Japan,86,525.8,86,Gold,45218.8
100156,Germany,73,1934.75,216,Silver,141236.75
100157,Germany,75,1723.28,145,Bronze,129246.0
100158,UAE,34,1825.89,78,Silver,62080.26
100159,India,91,1838.05,343,Platinum,167262.55
100160,UK,22,777.57,44,Bronze,17106.54
100161,UK,67,1724.4,168,Gold,115534.8
100162,Japan,50,1780.77,97,Bronze,89038.5
100163,UAE,48,1104.22,288,Bronze,53002.56
100164,USA,72,1258.01,25,Silver,90576.72
100165,Japan,70,1163.44,267,Platinum,81440.8
100166,UAE,57,51.73,54,Silver,2948.61
100167,India,25,1080.36,219,Bronze,27009.0
100168,India,66,94.92,218,Bronze,6264.72
100169,India,16,913.13,209,Platinum,14610.08
100170,India,58,110.46,326,Bronze,6406.68
100171,India,41,921.61,279,Platinum,37786.01
100172,UAE,51,623.4,350,Bronze,31793.4
100173,UAE,21,1552.37,266,Bronze,32599.77
100174,Germany,79,968.62,71,Bronze,76520.98
100175,UK,56,1033.95,68,Silver,57901.2
100176,India,98,1809.3,79,Bronze,177311.4
100177,USA,47,974.95,151,Silver,45822.65
100178,UAE,43,329.62,335,Silver,14173.66
100179,USA,84,242.9,324,Bronze,20403.6
100180,USA,31,625.53,48,Silver,19391.43
100181,USA,15,545.45,362,Silver,8181.75
100182,Germany,48,1640.62,177,Bronze,78749.76
100183,UAE,62,1522.59,81,Bronze,94400.58
100184,USA,92,136.08,128,Gold,12519.36
100185,India,70,417.98,323,Bronze,29258.6
100186,Japan,3,908.67,229,Silver,2726.01
100187,USA,38,192.65,21,Bronze,7320.7
100188,Germany,87,349.11,321,Bronze,30372.57
100189,UAE,58,1818.72,232,Bronze,105485.76
100190,Germany,67,1091.57,67,Silver,73135.19
100191,USA,45,1597.36,133,Gold,71881.2
100192,UAE,44,674.49,217,Bronze,29677.56
100193,Japan,8,762.08,12,Bronze,6096.64
100194,USA,66,1719.54,267,Gold,113489.64
100195,Germany,71,1321.22,324,Silver,93806.62
100196,UK,61,1363.2,354,Bronze,83155.2
100197,India,17,1285.1,306,Bronze,21846.7
100198,Germany,71,1091.45,180,Gold,77492.95
100199,UAE,97,1982.44,123,Silver,192296.68
100200,USA,36,1790.53,294,Gold,64459.08
100201,India,68,1427.59,27,Silver,97076.12
100202,USA,80,1362.75,213,Bronze,109020.0
100203,UAE,21,186.84,332,Bronze,3923.64
100204,USA,82,980.66,319,Silver,80414.12
100205,UK,46,1002.09,364,Bronze,46096.14
100206,India,46,122.84,198,Bronze,5650.64
100207,India,92,1516.09,27,Bronze,139480.28
100208,UAE,16,23.89,255,Bronze,382.24
100209,UK,22,861.91,78,Silver,18962.02
100210,Germany,6,1808.44,281,Platinum,10850.64
100211,USA,94,693.91,203,Gold,65227.54
100212,Japan,56,1173.64,108,Bronze,65723.84
100213,USA,45,629.75,37,Bronze,28338.75
100214,USA,58,374.38,151,Gold,21714.04
100215,Germany,28,1465.44,195,Silver,41032.32
100216,USA,17,425.05,309,Silver,7225.85
100217,UK,36,162.94,159,Silver,5865.84
100218,UK,12,881.56,364,Silver,10578.72
100219,India,50,1423.58,129,Silver,71179.0
100220,UAE,59,1168.41,228,Silver,68936.19
100221,Japan,12,503.92,159,Bronze,6047.04
100222,USA,62,1639.15,341,Gold,101627.3
100223,USA,40,212.24,292,Bronze,8489.6
100224,Germany,93,1347.23,198,Gold,125292.39
100225,UAE,2,1221.22,289,Silver,2442.44
100226,UK,93,1799.87,348,Silver,167387.91
100227,Japan,94,1063.31,84,Gold,99951.14
100228,India,25,1641.59,125,Silver,41039.75
100229,UK,85,446.29,186,Bronze,37934.65
100230,UAE,86,1099.72,73,Gold,94575.92
100231,India,74,1074.61,117,Gold,79521.14
100232,Germany,31,604.76,199,Bronze,18747.56
100233,Germany,47,30.07,46,Bronze,1413.29
100234,USA,60,1493.61,53,Silver,89616.6
100235,UAE,73,805.41,250,Gold,58794.93
100236,Japan,98,614.18,149,Bronze,60189.64
100237,India,41,404.3,78,Bronze,16576.3
100238,UK,50,1706.4,166,Bronze,85320.0
100239,UAE,23,681.07,78,Silver,15664.61
100240,UAE,12,50000.0,287,Gold,5085.84
100241,Germany,71,1056.44,207,Bronze,75007.24
100242,USA,96,1568.06,319,Gold,150533.76
100243,USA,83,1212.88,281,Bronze,100669.04
100244,India,22,1921.18,198,Bronze,42265.96
100245,Germany,56,1914.4,267,Silver,107206.4
100246,UAE,16,1806.7,6,Silver,28907.2
100247,Japan,58,1139.01,61,Bronze,66062.58
100248,Germany,72,1541.18,361,Silver,110964.96
100249,India,94,591.23,12,Silver,55575.62
100250,India,51,1159.21,271,Silver,59119.71
100251,Germany,6,151.66,142,Bronze,909.96
100252,India,2,541.6,2,Gold,1083.2
100253,Germany,62,664.18,291,Silver,41179.16
100254,UK,98,735.26,315,Bronze,72055.48
100255,Germany,93,338.81,252,Gold,31509.33
100256,Germany,42,184.86,20,Bronze,7764.12
100257,India,43,1165.17,242,Silver,50102.31
100258,India,52,992.82,338,Silver,51626.64
100259,USA,58,1177.37,75,Silver,68287.46
100260,USA,20,276.02,153,Silver,5520.4
100261,UK,56,1896.43,321,Platinum,106200.08
100262,USA,67,838.44,311,Bronze,56175.48
100263,Germany,59,909.96,184,Bronze,53687.64
100264,India,48,1102.99,211,Bronze,52943.52
100265,USA,35,1386.45,156,Bronze,48525.75
100266,USA,8,782.02,347,Silver,6256.16
100267,UK,76,303.44,161,Bronze,23061.44
100268,UAE,32,1570.58,57,Gold,50258.56
100269,UK,93,535.9,294,Bronze,49838.7
100270,Germany,45,896.88,130,Bronze,40359.6
100271,India,85,1272.01,246,Gold,108120.85
100272,UK,67,1931.43,290,Bronze,129405.81
100273,USA,27,86.5,71,Silver,2335.5
100274,India,3,1047.36,343,Bronze,3142.08
100275,India,57,1873.53,29,Silver,106791.21
100276,USA,65,525.19,79,Bronze,34137.35
100277,UK,20,242.35,327,Bronze,4847.0
100278,USA,71,1201.74,292,Bronze,85323.54
100279,UAE,41,321.34,78,Gold,13174.94
100280,India,1,1760.17,8,Gold,1760.17
100281,Japan,74,1451.88,165,Gold,107439.12
100282,Japan,76,259.63,156,Bronze,19731.88
100283,Germany,4,1163.35,295,Bronze,4653.4
100284,USA,71,73.69,173,Bronze,5231.99
100285,USA,10,1693.44,220,Silver,16934.4
100286,Germany,86,426.77,173,Bronze,36702.22
100287,Germany,89,1469.0,91,Bronze,130741.0
100288,Germany,29,230.52,77,Bronze,6685.08
100289,India,15,955.4,67,Gold,14331.0
100290,UAE,19,1859.88,166,Bronze,35337.72
100291,USA,58,167.47,179,Bronze,9713.26
100292,India,53,604.84,161,Silver,32056.52
100293,Germany,46,1569.6,16,Silver,72201.6
100294,USA,18,937.46,115,Bronze,16874.28
100295,India,3,1307.6,204,Silver,3922.8
100296,UAE,70,1627.78,189,Bronze,113944.6
100297,India,22,1572.42,333,Silver,34593.24
100298,UAE,55,802.84,211,Bronze,44156.2
100299,Germany,64,872.63,278,Silver,55848.32
100300,UAE,41,1150.82,67,Bronze,47183.62
100301,USA,95,263.06,311,Bronze,24990.7
100302,Germany,85,1741.66,317,Bronze,148041.1
100303,USA,8,205.1,272,Silver,1640.8
100304,Japan,65,385.93,154,Bronze,25085.45
100305,UK,3,1890.7,52,Gold,5672.1
100306,UAE,29,578.04,61,Silver,16763.16
100307,UK,70,503.55,291,Bronze,35248.5
100308,UK,97,862.19,281,Bronze,83632.43
100309,UAE,18,1454.09,273,Bronze,26173.62
100310,Germany,58,745.12,205,Gold,43216.96
100311,Japan,1,1751.95,68,Gold,1751.95
100312,USA,22,315.73,36,Bronze,6946.06
100313,India,95,253.53,212,Bronze,24085.35
100314,USA,23,173.25,32,Silver,3984.75
100315,India,8,610.75,19,Bronze,4886.0
100316,USA,29,415.12,197,Silver,12038.48
100317,UAE,44,933.43,235,Gold,41070.92
100318,Japan,62,1991.49,119,Gold,123472.38
100319,India,19,1739.71,123,Bronze,33054.49
100320,Germany,59,1792.03,191,Bronze,105729.77
100321,USA,80,1664.86,303,Silver,133188.8
100322,USA,19,557.99,342,Bronze,10601.81
100323,India,22,468.12,349,Bronze,10298.64
100324,Germany,83,1469.58,102,Silver,121975.14
100325,Germany,68,1205.95,79,Silver,82004.6
100326,UAE,5,428.12,218,Bronze,2140.6
100327,UAE,5,1935.33,41,Bronze,9676.65
100328,UAE,25,859.94,333,Bronze,21498.5
100329,UAE,24,1632.56,201,Bronze,39181.44
100330,UAE,1,50000.0,254,Bronze,166.14
100331,UAE,28,89.63,75,Gold,2509.64
100332,Japan,47,922.49,359,Silver,43357.03
100333,Germany,85,256.39,320,Gold,21793.15
100334,UAE,60,1958.94,13,Bronze,117536.4
100335,Germany,19,1627.8,202,Silver,30928.2
100336,Germany,87,919.07,90,Bronze,79959.09
100337,UK,14,1959.44,265,Gold,27432.16
100338,Japan,70,491.78,192,Bronze,34424.6
100339,UAE,96,1364.37,250,Silver,130979.52
100340,USA,96,54.71,78,Gold,5252.16
100341,India,8,757.08,105,Gold,6056.64
100342,USA,37,177.06,72,Bronze,6551.22
100343,Japan,86,747.4,108,Silver,64276.4
100344,India,72,773.58,278,Bronze,55697.76
100345,Japan,10,762.84,268,Silver,7628.4
100346,Germany,67,840.57,199,Bronze,56318.19
100347,India,13,1241.37,137,Bronze,16137.81
100348,Germany,39,395.06,69,Gold,15407.34
100349,USA,64,484.11,139,Gold,30983.04
100350,USA,30,1297.95,136,Bronze,38938.5
100351,India,4,943.15,268,Gold,3772.6
100352,India,45,340.6,62,Silver,15327.0
100353,UAE,6,1578.74,119,Silver,9472.44
100354,Japan,16,1863.14,289,Silver,29810.24
100355,UAE,22,941.36,154,Silver,20709.92
100356,Japan,91,1235.78,22,Bronze,112455.98
100357,UAE,21,1634.38,268,Gold,34321.98
100358,Germany,93,1928.23,351,Gold,179325.39
100359,India,65,1938.91,322,Bronze,126029.15
100360,USA,30,1847.22,113,Silver,55416.6
100361,Japan,24,1635.7,160,Silver,39256.8
100362,Japan,64,863.04,39,Silver,55234.56
100363,USA,13,1345.89,128,Bronze,17496.57
100364,UAE,94,1531.57,289,Bronze,143967.58
100365,Japan,26,201.97,357,Platinum,5251.22
100366,Germany,98,250.4,118,Gold,24539.2
100367,India,20,1416.69,150,Bronze,28333.8
100368,USA,61,1340.49,361,Gold,81769.89
100369,India,6,1611.64,97,Bronze,9669.84
100370,Japan,43,385.47,44,Gold,16575.21
100371,Japan,49,1874.63,226,Gold,91856.87
100372,USA,9,491.94,129,Gold,4427.46
100373,Germany,37,287.5,333,Bronze,10637.5
100374,UK,16,662.18,353,Bronze,10594.88
100375,USA,4,1620.96,10,Gold,6483.84
100376,UK,32,75.91,288,Bronze,2429.12
100377,UAE,84,469.13,107,Gold,39406.92
100378,UK,93,1912.09,360,Silver,177824.37
100379,Germany,95,53.68,269,Bronze,5099.6
100380,UAE,17,570.95,117,Bronze,9706.15
100381,UK,41,665.03,302,Gold,27266.23
100382,UAE,89,1849.34,263,Bronze,164591.26
100383,UK,45,1705.39,141,Silver,76742.55
100384,Germany,16,930.98,139,Bronze,14895.68
100385,UK,20,648.76,210,Gold,12975.2
100386,UK,42,1889.97,113,Platinum,79378.74
100387,UK,10,392.84,352,Silver,3928.4
100388,USA,52,964.11,102,Bronze,50133.72
100389,USA,60,848.51,248,Platinum,50910.6
100390,USA,48,1871.71,2,Bronze,89842.08
100391,Germany,23,1516.5,115,Bronze,34879.5
100392,UAE,33,937.49,17,Bronze,30937.17
100393,Japan,77,1221.96,279,Bronze,94090.92
100394,UK,25,1816.89,136,Bronze,45422.25
100395,UK,50,1665.83,276,Gold,83291.5
100396,Germany,88,1238.6,173,Bronze,108996.8
100397,UK,70,1832.33,34,Bronze,128263.1
100398,USA,79,772.97,155,Bronze,61064.63
100399,Japan,55,1471.7,314,Bronze,80943.5
100400,India,98,51.91,223,Silver,5087.18
100401,UK,68,1174.29,59,Bronze,79851.72
100402,USA,78,291.22,234,Bronze,22715.16
100403,India,4,1058.12,240,Bronze,4232.48
100404,Japan,28,508.09,190,Silver,14226.52
100405,India,29,773.75,352,Gold,22438.75
100406,USA,82,1588.49,350,Bronze,130256.18
100407,UAE,84,136.04,63,Bronze,11427.36
100408,UAE,48,1084.05,44,Silver,52034.4
100409,India,96,306.85,296,Bronze,29457.6
100410,Germany,72,50000.0,210,Gold,83161.44
100411,India,13,1274.51,75,Silver,16568.63
100412,UK,43,380.53,208,Silver,16362.79
100413,UK,9,31.81,272,Gold,286.29
100414,UAE,40,189.2,259,Bronze,7568.0
100415,Germany,46,1385.43,274,Gold,63729.78
100416,USA,58,772.6,195,Gold,44810.8
100417,UK,97,758.33,285,Bronze,73558.01
100418,UAE,56,1389.94,46,Bronze,77836.64
100419,Japan,12,1004.32,44,Bronze,12051.84
100420,UAE,25,1281.43,275,Platinum,32035.75
100421,UK,89,1840.27,138,Silver,163784.03
100422,UK,16,1023.59,191,Bronze,16377.44
100423,UAE,51,1283.31,243,Gold,65448.81
100424,USA,80,1286.63,19,Silver,102930.4
100425,India,99,1078.7,30,Bronze,106791.3
100426,UK,87,1335.58,276,Gold,116195.46
100427,UAE,72,50000.0,102,Gold,120384.0
100428,UAE,53,1619.51,174,Bronze,85834.03
100429,Germany,52,133.39,307,Bronze,6936.28
100430,India,67,1904.54,198,Silver,127604.18
100431,Japan,24,1697.46,43,Bronze,40739.04
100432,USA,86,1941.79,84,Bronze,166993.94
100433,Japan,14,404.28,263,Bronze,5659.92
100434,India,22,1082.09,265,Silver,23805.98
100435,India,98,890.99,54,Bronze,87317.02
100436,India,31,766.38,354,Gold,23757.78
100437,Japan,85,824.9,347,Silver,70116.5
100438,India,58,1809.17,1,Silver,104931.86
100439,UAE,69,1402.92,293,Bronze,96801.48
100440,Japan,19,663.0,42,Gold,12597.0
100441,India,53,770.18,79,Gold,40819.54
100442,UAE,85,947.67,104,Silver,80551.95
100443,Germany,2,746.52,107,Bronze,1493.04
100444,India,53,435.94,295,Gold,23104.82
100445,Japan,67,881.99,154,Silver,59093.33
100446,UK,47,177.46,98,Bronze,8340.62
100447,India,53,1711.75,171,Bronze,90722.75
100448,UK,57,1653.24,364,Gold,94234.68
100449,UAE,94,1786.0,361,Bronze,167884.0
100450,Germany,98,902.9,283,Bronze,88484.2
100451,USA,25,1309.43,202,Bronze,32735.75
100452,Germany,35,1623.79,285,Bronze,56832.65
100453,India,29,643.42,140,Silver,18659.18
100454,UK,76,1274.1,49,Silver,96831.6
100455,UK,87,887.7,127,Gold,77229.9
100456,Japan,92,759.95,28,Gold,69915.4
100457,UK,17,1721.76,341,Gold,29269.92
100458,Japan,80,1255.67,126,Bronze,100453.6
100459,UAE,49,1254.32,63,Bronze,61461.68
100460,USA,56,330.59,225,Bronze,18513.04
100461,India,73,706.9,310,Bronze,51603.7
100462,Japan,3,1685.69,334,Gold,5057.07
100463,USA,22,442.71,355,Gold,9739.62
100464,UK,95,1941.52,302,Bronze,184444.4
100465,UK,14,1667.11,241,Silver,23339.54
100466,USA,3,549.88,362,Bronze,1649.64
100467,UK,38,234.27,64,Silver,8902.26
100468,UAE,87,355.72,203,Silver,30947.64
100469,UAE,21,499.56,15,Bronze,10490.76
100470,USA,51,490.74,312,Silver,25027.74
100471,Japan,24,52.23,201,Bronze,1253.52
100472,Japan,96,1436.3,58,Silver,137884.8
100473,USA,45,1954.59,191,Silver,87956.55
100474,Japan,69,587.14,43,Bronze,40512.66
100475,Japan,97,52.23,105,Bronze,5066.31
100476,UAE,44,1838.25,160,Silver,80883.0
100477,Japan,47,428.28,345,Bronze,20129.16
100478,Germany,57,34.17,137,Platinum,1947.69
100479,India,19,463.76,179,Silver,8811.44
100480,UK,34,225.95,101,Bronze,7682.3
100481,Germany,3,1457.57,9,Silver,4372.71
100482,Japan,39,23.25,207,Silver,906.75
100483,UAE,92,893.88,217,Bronze,82236.96
100484,USA,75,994.07,52,Silver,74555.25
100485,Japan,60,1572.72,21,Bronze,94363.2
100486,UAE,10,1054.28,327,Silver,10542.8
100487,India,40,266.98,266,Silver,10679.2
100488,Japan,2,864.43,322,Platinum,1728.86
100489,USA,45,1870.49,254,Silver,84172.05
100490,UAE,27,50000.0,12,Bronze,13199.49
100491,UAE,53,612.95,185,Silver,32486.35
100492,UAE,9,1749.05,44,Platinum,15741.45
100493,India,1,1576.21,170,Bronze,1576.21
100494,Japan,33,605.12,250,Silver,19968.96
100495,India,38,1422.58,294,Silver,54058.04
100496,UK,57,188.53,135,Silver,10746.21
100497,UK,33,1095.13,167,Gold,36139.29
100498,Japan,48,1744.53,349,Silver,83737.44
100499,India,3,1688.18,193,Silver,5064.54
100500,USA,32,421.63,313,Bronze,13492.16
100501,UAE,77,1075.67,98,Bronze,82826.59
100502,UAE,21,808.95,64,Gold,16987.95
100503,Japan,68,1130.49,100,Bronze,76873.32
100504,UK,17,168.64,218,Gold,2866.88
100505,UK,42,1963.08,205,Silver,82449.36
100506,UAE,68,1135.76,161,Bronze,77231.68
100507,Japan,84,256.19,11,Silver,21519.96
100508,India,12,1291.69,22,Silver,15500.28
100509,UK,90,35.27,195,Bronze,3174.3
100510,India,45,32.8,77,Bronze,1476.0
100511,UK,36,374.71,180,Bronze,13489.56
100512,UK,80,556.44,346,Silver,44515.2
100513,Germany,51,541.06,308,Bronze,27594.06
100514,UK,7,897.48,295,Bronze,6282.36
100515,USA,33,1036.13,77,Silver,34192.29
100516,Japan,48,855.86,35,Bronze,41081.28
100517,Japan,66,760.3,192,Silver,50179.8
100518,India,33,1346.88,141,Silver,44447.04
100519,UK,78,511.71,240,Bronze,39913.38
100520,USA,84,1263.06,247,Bronze,106097.04
100521,India,27,1914.2,111,Silver,51683.4
100522,Germany,47,954.11,289,Bronze,44843.17
100523,India,85,1032.17,121,Silver,87734.45
100524,India,66,1461.99,153,Gold,96491.34
100525,UK,43,1024.64,310,Bronze,44059.52
100526,Germany,80,304.94,62,Silver,24395.2
100527,India,19,1229.19,108,Bronze,23354.61
100528,USA,68,1027.37,325,Silver,69861.16
100529,USA,10,1903.92,301,Silver,19039.2
100530,Japan,22,204.15,36,Bronze,4491.3
100531,Germany,76,1082.21,278,Gold,82247.96
100532,Germany,66,1241.52,364,Silver,81940.32
100533,Japan,2,1247.39,271,Bronze,2494.78
100534,India,98,138.21,287,Bronze,13544.58
100535,Germany,18,669.1,6,Bronze,12043.8
100536,USA,80,539.84,80,Bronze,43187.2
100537,USA,19,1366.37,132,Silver,25961.03
100538,UK,89,1476.12,190,Silver,131374.68
100539,Germany,30,434.35,139,Silver,13030.5
100540,India,6,1655.64,89,Gold,9933.84
100541,Japan,27,980.37,71,Silver,26469.99
100542,Japan,15,540.66,8,Bronze,8109.9
100543,India,31,613.51,223,Silver,19018.81
100544,UAE,44,541.8,299,Bronze,23839.2
100545,UK,86,1216.79,277,Silver,104643.94
100546,Japan,76,1063.59,7,Bronze,80832.84
100547,Germany,10,1878.69,55,Gold,18786.9
100548,UK,21,561.9,283,Bronze,11799.9
100549,Germany,47,651.97,115,Silver,30642.59
100550,USA,55,32.83,200,Bronze,1805.65
100551,UK,95,610.71,46,Silver,58017.45
100552,Japan,36,516.74,20,Gold,18602.64
100553,UK,74,815.95,32,Bronze,60380.3
100554,UK,58,1001.37,303,Bronze,58079.46
100555,UK,19,1347.1,73,Gold,25594.9
100556,UAE,87,399.94,248,Bronze,34794.78
100557,UK,64,1121.71,205,Bronze,71789.44
100558,Germany,10,1462.71,359,Bronze,14627.1
100559,USA,49,497.54,230,Bronze,24379.46
100560,India,54,715.4,271,Bronze,38631.6
100561,UK,61,426.13,305,Bronze,25993.93
100562,Japan,59,239.84,19,Silver,14150.56
100563,UK,91,1517.28,322,Bronze,138072.48
100564,Japan,2,495.33,245,Silver,990.66
100565,Germany,75,747.79,44,Bronze,56084.25
100566,Japan,8,510.42,290,Bronze,4083.36
100567,India,19,106.77,224,Silver,2028.63
100568,USA,80,1463.4,119,Bronze,117072.0
100569,Japan,68,1293.79,284,Bronze,87977.72
100570,Japan,14,962.73,44,Bronze,13478.22
